ciphersuite,count,code_1sthalf,code_2ndhalf,code,cipher_y,dtls_ok,recommended,ref,key_exchange,mac,cipher,code_base10
0x2f,10580,0x00,0x2f,"0x00,0x2f",TLS_RSA_WITH_AES_128_CBC_SHA,Y,N,[RFC5246],tls_rsa,sha,aes_128_cbc,47
0xc02f,8591,0xc0,0x2f,"0xc0,0x2f",TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,Y,Y,[RFC5289],tls_dhe_rsa,sha256,aes_128_gcm,49199
0xc02b,8453,0xc0,0x2b,"0xc0,0x2b",TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,Y,Y,[RFC5289],tls_ecdhe_ecdsa,sha256,aes_128_gcm,49195
0x35,8192,0x00,0x35,"0x00,0x35",TLS_RSA_WITH_AES_256_CBC_SHA,Y,N,[RFC5246],tls_rsa,sha,aes_256_cbc,53
0xc030,8180,0xc0,0x30,"0xc0,0x30",TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Y,Y,[RFC5289],tls_dhe_rsa,sha384,aes_256_gcm,49200
0xc013,8015,0xc0,0x13,"0xc0,0x13",TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,Y,N,[RFC8422],tls_dhe_rsa,sha,aes_128_cbc,49171
0xc02c,7946,0xc0,0x2c,"0xc0,0x2c",TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,Y,Y,[RFC5289],tls_ecdhe_ecdsa,sha384,aes_256_gcm,49196
0xc014,7883,0xc0,0x14,"0xc0,0x14",TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,Y,N,[RFC8422],tls_dhe_rsa,sha,aes_256_cbc,49172
0x9c,7864,0x00,0x9c,"0x00,0x9c",TLS_RSA_WITH_AES_128_GCM_SHA256,Y,N,[RFC5288],tls_rsa,sha256,aes_128_gcm,156
0x9d,7376,0x00,0x9d,"0x00,0x9d",TLS_RSA_WITH_AES_256_GCM_SHA384,Y,N,[RFC5288],tls_rsa,sha384,aes_256_gcm,157
0xa,5691,0x00,0x0a,"0x00,0x0a",TLS_RSA_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5246],tls_rsa,sha,3des_ede_cbc,10
0xcca8,4658,0xcc,0xa8,"0xcc,0xa8",TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,Y,Y,[RFC7905],tls_dhe_rsa,sha256,chacha20_poly1305,52392
0xcca9,4657,0xcc,0xa9,"0xcc,0xa9",TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,Y,Y,[RFC7905],tls_ecdhe_ecdsa,sha256,chacha20_poly1305,52393
0xc009,4384,0xc0,0x09,"0xc0,0x09",TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,Y,N,[RFC8422],tls_ecdhe_ecdsa,sha,aes_128_cbc,49161
0xc00a,4245,0xc0,0x0a,"0xc0,0x0a",TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,Y,N,[RFC8422],tls_ecdhe_ecdsa,sha,aes_256_cbc,49162
0xff,4070,0x00,0xff,"0x00,0xff",TLS_EMPTY_RENEGOTIATION_INFO_SCSV,Y,N,[RFC5746],tls_secure_renego,scsv,secure_renego,255
0x33,3451,0x00,0x33,"0x00,0x33",TLS_DHE_RSA_WITH_AES_128_CBC_SHA,Y,N,[RFC5246],tls_dhe_rsa,sha,aes_128_cbc,51
